,Headline,Body ID,Stance
7497,Boko Haram ceasefire ignored as violence flares in Borno state,320,unrelated
7499,Pure Evil: Islamic State Beheads American Journalist James Wright Foley,2130,unrelated
7500,ISIS Video: America’s Air Dropped Weapons Now in Our Hands,2252,unrelated
7502,"White House Fence-Jumper Overpowered Secret Service Officer, Ran Through Much of Main Floor",1426,unrelated
7503,Say 'eh-oh!' to the Teletubbies SUN BABY - can you still recognise her after 19 years?,615,discuss
7504,"Apple 12-Inch MacBook Air Details Emerge; Device Could Be Thinner, Lighter Than Current Model",2497,discuss
7505,Somalia Shebab chief Ahmed Abdi Godane likely dead in US strike: Source,1936,unrelated
7506,Web of confusion as scientists cast doubt on man's claims that a spider burrowed into his stomach through his SCAR,2297,unrelated
7507,Militant Group Says It Killed American Journalist in Syria,1549,unrelated
7508,"Macaulay Culkin Dead? Hoax Goes Viral, Claims Actor Found Dead in Apartment",2502,agree
7509,UPDATE: BATMAN v SUPERMAN Batmobile Reportedly Stolen By (Shocker!) Detroit Locals,483,unrelated
7510,"US, UK eye rapper as British-born militant who beheaded journalist James Foley",2295,unrelated
7512,Opposition group: ISIS militants training to fly warplanes in Syria,1406,unrelated
7513,Luke Somers 'killed in failed rescue attempt in Yemen',244,unrelated
7515,New Audio Reveals Pause in Gunfire When Michael Brown Was Shot: Attorney,2250,discuss
7516,Lynch mob chop man's penis off after catching him allegedly trying to rape teenager,1375,unrelated
7517,India Rape Crisis Sees Mob Castrate Alleged Sex Attacker in Shocking Scenes,1022,agree
7519,"No, Robert Plant Didn’t Rip Up an $800 Million Contract",1740,unrelated
7521,Google Grows With $1.6 Billion in California Office Deals,125,unrelated
7522,Durex on Rumored ‘Pumpkin Spice’ Condom: No Comment,2152,unrelated
7523,TBS Is Probably Speeding Up ‘Seinfeld’ Reruns To Fit In More Commercials,1883,unrelated
7524,Obama administration DENIES congressman's claim that 'at least ten ISIS fighters have been caught coming across the Mexican border in Texas',2016,agree
7525,"Don't forget to tip...especially if you spend $300,000",1817,unrelated
7528,"Tour, agent: Tiger Woods not banned",1795,unrelated
7530,ISIS Claims To Have Captured US Airdrop Weapons,1785,unrelated
7531,A Bunch Of Folks Are Passing Around This Hoax Video Of A Bird Pooping On Vladimir Putin,2502,unrelated
7532,YPG Confirms: Gill Rosenberg Not Captured in Kobani,2067,unrelated
7533,"Homeless man who became a YouTube sensation after spending $100 on food for his beggar friends gets a surprise Christmas meal, makeover and night in a hotel in new video... but is it all a hoax by a 'serial prankster'?",1996,discuss
7534,Pentagon: ISIS seized materials airdropped to Kurds,1938,unrelated
7535,American hostage in Yemen freed in military raid-Defence Ministry,1256,unrelated
7536,IS militant 'Jihadi John' named as Mohammed Emwazi from London,2470,unrelated
7537,Militant Group Says It Killed American Journalist in Syria,2386,discuss
7538,Ebola Outbreak 2015 Update: ISIS Fighters May Have Contracted Deadly Virus,2025,discuss
7539,Meteorite leaves crater in Nicaraguan capital Managua,971,unrelated
7540,"If you really believed Colorado KFCs were selling pot, here’s a reality check",2434,unrelated
7542,Report: Christian Bale Just Bailed on the Steve Jobs Movie,1234,unrelated
7543,Who Is Michael Zehaf-Bibeau? Ottawa Shooter Suspect Identified By Canadian Officials ,11,unrelated
7545,Hundreds mourn the 'death' of Fidel Castro after rumours sweep Twitter (but are they confusing him with recently departed Fidel Castro Odinga from Nairobi?),93,unrelated
7547,Hope Fades for Girls' Release After Boko Haram 'Truce' Breached,1821,agree
7548,Video: Islamic State Claims to Have Captured US Weapons Airdrop Near Kobane,2483,unrelated
7549,"Amazon reportedly launching free, ad-supported video service (updated)",531,unrelated
7550,Guantanamo Detainee Exchanged for American POW Attempts a Return to Battle,2236,discuss
7551,Michael Phelps’ girlfriend Taylor Lianne Chandler reveals she was raised as a boy,89,unrelated
7552,Macaulay Culkin dead hoax: Fake death report spreads on social networks,195,unrelated
7554,Dog abandoned at Scottish rail station with suitcase full of belongings  Read more: http://www.ctvnews.ca/world/dog-abandoned-at-scottish-rail-station-with-suitcase-full-of-belongings-1.2175026#ixzz3O9Shc1IO,2483,agree
7555,North Korea denies plans to open a restaurant in Scotland,2418,discuss
7556,"Woman detained in Lebanon is not Isis leader’s wife, says Iraq",2265,unrelated
7557,Actor has his testicles stolen after meeting ‘young blonde woman at a bar’,845,agree
7558,"Boko Haram Could Release Kidnapped Girls, Nigerian Officials Say",1821,discuss
7559,Female Israeli fighter said abducted by Islamic State  Read more: Female Israeli fighter said abducted by Islamic State,2067,unrelated
7560,Seven girls fall pregnant after five day school trip in Bosnia and Herzegovina,2044,unrelated
7562,ISIS leader dead?,1048,unrelated
7563,"Predator Drone Reportedly Sighted Circling Raqqa, Syria",1802,unrelated
7565,Does Vogue's New Office Have a Rat Infestation?,304,unrelated
7568,Report: Audio Reveals Pause Between Gunshots When Michael Brown Was Shot,2481,discuss
7569,Two GOP Congressmen Say Suspected Terrorists Caught Crossing U.S.–Mexico Border,2261,discuss
7570,BREAKING NEWS: ISIS beheads missing American journalist James Wright Foley as warning to US to cease action in Iraq,1744,discuss
7571,ISIS Video Purports To Show Beheading Of British Aid Worker,1757,discuss
7572,"No, Islamic State Militants Have Not Been Caught by U.S. Border Patrol",1177,unrelated
7573,Vogue’s Rat Infestation: Disturbing New Details,2263,agree
7574,Taliban member swapped by Obama for Bowe Bergdahl tried to return to terror: report,2236,discuss
7575,"What they earn: Vice CEO Shane Smith’s $300,000 steak dinner",1299,unrelated
7576,Boko Haram 'ceasefire' doubts after attacks reported in Nigeria,1541,unrelated
7577,Man chops off own penis after being dumped by his girlfriend,1905,unrelated
7581,Taylor Lianne Chandler: Michael Phelps' Cougar Girlfriend Revealed?,1806,discuss
7584,Canadian-Israeli Woman May Have Been Captured In Syria: Reports,2037,discuss
7586,Hope Fades for Girls' Release After Boko Haram 'Truce' Breached,2045,unrelated
7587,WHO says reports of suspected Ebola cases in Iraq are untrue,206,unrelated
7588,"Vogue's Anna Wintour Pissed Off With New 1 World Trade Center Offices, Infested With Rats",891,unrelated
7589,Unconfirmed reports claim Canadian-Israeli Gill Rosenberg captured by ISIS,214,unrelated
7590,Did Kim Yo-Jong Take Kim Jong Un’s Role? North Korea Ill Health Rumors Are ‘Fabricated’,2473,discuss
7591,Is Kim Jong Un's sister Kim Yo Jong in charge?,1291,unrelated
7592,"'Star Wars VII' News, Update: JJ Abrams Pushing for Summer Release?",2434,unrelated
7593,"Big Bank Hank, US rapper and Sugarhill Gang founder member, dies at 57",1996,unrelated
7594,"Batmobile Stolen From ""Batman v Superman: Dawn of Justice"" Set, Zack Snyder Knows Who Did It",1852,unrelated
7595,"Jihadi John named as Mohammed Emwazi, from west London",1256,unrelated
7596,BREAKING Gill Rosenberg former IDF soldier was captured by ISIS,80,unrelated
7597,More American Weapons for ISIS,2176,unrelated
7599,"L. Jinny? Abdel-Majed Abdel Bary, UK Rapper, Suspected in James Foley Killing: Reports",1314,discuss
7600,Abdel Majed Abdel Bary Emerges as Suspect in Foley Beheading,2434,unrelated
7601,More than 200 kidnapped Nigerian girls to be released after deal reached with Boko Haram,1166,discuss
7602,SEND IN THE DRONES: Predator drones flown over IS headquarters in Syria,1740,agree
7604,Nun who GAVE BIRTH to baby boy after suffering agonising stomach pains 'had no idea' she was pregnant,179,agree
7606,Christmas Is Cancelled: Pumpkin Spice Condoms Are a Goddamn Hoax,2123,unrelated
7607,ISIS Getting Ebola,2177,unrelated
7608,Anna Wintour: Is Rat Infestation At NYC ‘Vogue’ Office Kim Kardashian’s Fault?,2196,unrelated
7609,"Sadly, Pumpkin Spice Condoms Aren't A Thing After All",1627,unrelated
7610,Mystery man slaps shoppers around head for sneezing,992,unrelated
7612,Islamic State releases video apparently showing the beheading of missing US journalist James Foley,903,discuss
7613,IRAQI HEALTH OFFICIAL: EBOLA HAS KILLED 5 ISIS FIGHTERS,1615,discuss
7614,Tropical spider burrowed under man's skin through appendix scar and lived there for THREE DAYS,1530,unrelated
7615,Magic mushrooms found in BUCKINGHAM PALACE by Alan Titchmarsh,562,unrelated
7616,US Marine survives headshot from Taliban (video),2046,agree
7617,‘Wild Misinformation’: Brian Williams Explains the Mike Seidel Liveshot,975,agree
7618,"McDonald’s Removing Big Mac, Apple Pies And Eliminating Large Size Options",2448,unrelated
7619,Tropical spider burrowed under Bali tourist's skin,1579,discuss
7620,Pentagon confirms al-Shabab leader killed in airstrike in Somalia,1936,unrelated
7621,'Electric Boogie' Developer Leaves Secret Resignation Letter To Boss At The End Of The Game (Video),80,unrelated
7622,Video shows ISIL beheading of photojournalist James Foley,2525,unrelated
7623,Meteor Leaves 40-Foot Crater Near Managua's Airport,2061,unrelated
7624,Iraq Denies Lebanon Captured Abu Bakr al-Baghdadi's Wife and Child,404,unrelated
7625,British hostage David Haines beheaded by Islamic State terrorists,1097,agree
7626,Fence-jumper made it farther in White House than Secret Service let on,1323,unrelated
7627,NEWS/ All Dogs Go to Heaven! Pope Francis Confirms Paradise Is Open to All of God's Creatures,1905,agree
7628,Comcast Declares War on Tor?,1104,unrelated
7631,Attorney: New audio reveals pause in gunfire when Michael Brown was shot,1252,unrelated
7632,"SMALL METEORITE STRIKES NICARAGUA, GOVERNMENT SAYS",1068,discuss
7634,"Fidel Castro Is Dead, According to Viral Twitter Rumors",1305,discuss
7635,India: 400 men cut off their testicles to 'get closer to God' following advice from 'guru',1938,unrelated
7638,Meteorite 'caused mysterious boom in Nicaragua',800,unrelated
7639,A Man Says Comcast Called His Boss And Got Him Fired After He Complained About Its Service,1338,unrelated
7640,N Korean leader misses annual ritual; sister ‘takes over duties’,305,unrelated
7641,News sites fall for Putin bird-dropping video,1087,discuss
7643,"Is Kim Jong-un's Sister, Kim Yo-jong, Running North Korea In His Mysterious Absence?",1926,unrelated
7644,Will King of Jordan lead airstrikes on ISIS HIMSELF? Reports say trained pilot plans to take part in attack after quoting Clint Eastwood's Unforgiven to Congressmen,1365,unrelated
7645,Seth Rogen may play Steve Wozniak alongside Christian Bale as Steve Jobs,1746,discuss
7646,Video: Islamic State Claims to Have Captured US Weapons Airdrop Near Kobane,465,discuss
7647,"Woman detained in Lebanon is not Isis leader’s wife, says Iraq",2296,unrelated
7649,Audio recording allegedly captures moment Michael Brown was shot,1379,discuss
7651,Audio may have captured Michael Brown shooting,2403,unrelated
7652,"Cook said to confirm Apple Watch is showerproof, lasts a day",2044,unrelated
7653,British Man Slaps People If They Sneeze In Public,1952,discuss
7654,Sugarhill Gang rapper Big Bank Hank dies aged 57,1979,unrelated
7655,Two blokes dared to eat 20-year-old burger for charity,793,agree
7656,New Audio Allegedly Captures Moment Michael Brown Was Shot,1921,unrelated
7657,"Islamist Militants 'Steal' 11 Commercial Planes In Libya, Sparking Terror Attack Fears",508,discuss
7659,"Mass Graves Found In Mexico, Near Place Where 43 Students Went Missing",324,unrelated
7660,"Jeh Johnson: Politicians Shouldn't 'Feed The Flames Of Fear' Over ISIS, Ebola",134,agree
7661,"ISIS: We have our hands on weapons, ammo air-dropped by U.S.",2295,discuss
7663,"ISIS Militants In Mosul Have Contracted Ebola, Iraqi Media Sources Claim",568,unrelated
7664,British-born rapper is main suspect in search for ISIS jihadist who beheaded James Foley,913,unrelated
7665,Another ISIS Massacre: ISIS Kills 300 Iraqi Soldiers With Chlorine Gas,2016,unrelated
7667,"""Categorically False"": DHS Debunks Right-Wing Fiction That ISIS Attempted To Cross The U.S.- Mexico Border",1890,agree
7668,"Audio captured at time of Michael Brown shooting, company says",121,unrelated
7671,Michael Brown shooting audio caught on tape?,816,discuss
7672,"Confusion swirls, details murky in arrest of ISIS leader's 'wife'",950,unrelated
7673,"Is Apple about to launch a totally redesigned, 12-inch MacBook Air?",1863,unrelated
7674,ISIS Beheads American Journalist James Foley in Video Message to U.S.,1351,unrelated
7675,Meteorite 'caused mysterious boom in Nicaragua',1722,discuss
7676,Mexico Says Students Not Among Dead in Mass Grave,1269,unrelated
7677,Was The Batmobile Stolen In Detroit?,761,unrelated
7678,CNN Airs Alleged Audio from Michael Brown Shooting,900,unrelated
7679,Apple was forced to nix key health features from its smartwatch -- report,821,unrelated
7680,EBay appears to be planning an Apple Watch app,1397,discuss
7682,#ISIS beheads photojournalist James Wright Foley in a massage to US to end its intervention in #Iraq.,1471,agree
7683,This Letter To Parents From A 1970s Lego Set Contains An Important Message For Gender Equality,1137,unrelated
7684,NYC High School Student Nicknamed ‘Teen Wolf’ Made $72 Million On Stock Market,1167,discuss
7685,Media outlets identify 'Jihadi John',1489,discuss
7686,Dylan Thomas Finds Tropical Spider Burrowed Under Skin,2045,unrelated
7687,WAS NBC METEOROLOGIST MIKE SEIDEL PEEING IN THE SNOW ON CAMERA? A TESTY BRIAN WILLIAMS EXPLAINS,633,unrelated
7688,Weaponized Ebola? ISIS Militants Said To Contract Deadly Virus,1034,unrelated
7689,This Is Why Rumors That ISIS Is Crossing The Border Into The U.S. Aren’t Going Away,2458,unrelated
7690,"Apple Watch Gold Edition may cost as much as $5,000",239,unrelated
7691,New Audio Reveals Pause in Gunfire When Michael Brown Was Shot: Attorney,844,unrelated
7692,"No, Vladimir Putin did not get pooped on by a bird during a First World War speech",2472,unrelated
7693,Report: Nigerian Woman Quarantined in KC with Ebola-Like Symptoms (Video),1343,discuss
7694,Wayward sister ‘nun the wiser’ about baby,2388,unrelated
7695,"Catholic Priest Dies for 48 Minutes, Comes Back to Life and Claims God Is Female",398,unrelated
7696,"Islamic State Training Pilots in Military Jets, Monitors Say",296,unrelated
7697,Passenger Wears A Hazmat Suit To Dulles Airport [PHOTO],2211,unrelated
7699,This Letter To Parents From A 1970s Lego Set Contains An Important Message For Gender Equality,1786,unrelated
7700,ISIS Leader Killed: Abu Bakr Al-Baghdadi Reportedly Killed By U.S. Airstrike,1473,discuss
7702,Boston.com retracts claim about racist email from professor,1863,discuss
7703,Report: A Radically Redesigned 12-Inch MacBook Air Is Coming,1234,unrelated
7705,Audio of gunfire in Michael Brown case authenticated by app company,2187,unrelated
7706,Is Kim Jong-Un Really Opening a Restaurant in Scotland?,1776,unrelated
7707,‘Jihadi John’: The Islamic State killer behind the mask is a young Londoner,1047,unrelated
7708,Iraqi media: ISIS militants have contracted Ebola,1899,unrelated
7710,Banksy arrest hoax: US website claims street artist caught in Watford,949,agree
7712,Comcast blocks Tor,1572,discuss
7713,Report: A Radically Redesigned 12-Inch MacBook Air Is Coming,2497,discuss
7714,"Despite ceasefire announcement, new Boko Haram attacks reported",2045,unrelated
7715,ESPN to save NFL's image with all-male domestic abuse discussion,825,unrelated
7716,Willie Nelson Dead? Internet Freaks Out As Another Celebrity Death Hoax Makes The Rounds,1383,unrelated
7717,ISIS Beheads American Journalist James Foley in Video Message to U.S.,1358,unrelated
7718,CNN plays chilling audio recording allegedly from Michael Brown shooting: “At least 11 shots”,2313,unrelated
7719,"If you really believed Colorado KFCs were selling pot, here’s a reality check",1277,unrelated
7722,Obama: murder of James Foley 'shocks the conscience of the entire world',1905,unrelated
7723,Has Kim's SISTER taken over North Korea? Dictator fails to show for key Communist event (but does send a nice flower basket instead),2328,unrelated
7725,"Video showing American journalist beheaded believed real, officials and family say",1339,unrelated
7726,Seth Rogen to Star as Steve Wozniak in Sony's Steve Jobs Biopic [Updated],1002,discuss
7727,Isis 'fed murdered kidnap victim to his own mother after she travelled to their headquarters and demanded to see him',1888,unrelated
7728,This Is a Truly Horrifying Story About a Spider,1864,discuss
7729,Video Purports To Show Beheading Of U.S. Journalist By Militants,1580,discuss
7730,BREAKING UDPATED: ISIS REPORTEDLY USE CHEMICAL WEAPONS IN KOBANE,754,unrelated
7732,British aid worker David Haines beheaded by ISIL,2102,agree
7733,"Batmobile Stolen From ""Batman v Superman: Dawn of Justice"" Set, Zack Snyder Knows Who Did It",137,unrelated
7734,NEWS/ You'll Never Guess How a Homeless Man Spent $100—Watch the Touching Video!,2305,agree
7736,"Comcast Turns Complaints Back On Customer, Gets His Employer To Fire Him",1814,unrelated
7737,Meteor Leaves 40-Foot Crater Near Managua's Airport,961,agree
7738,British hostage David Haines beheaded by Islamic State terrorists,787,unrelated
7739,Tim Cook Reportedly Reveals Apple Watch Waterproofing Has Improved,720,unrelated
7740,Zack Snyder Makes Fun of Stolen Batmobile Rumor with New Image,529,unrelated
7741,"No, a bird didn't poop on Vladimir Putin",1938,unrelated
7742,Missing Planes,1022,unrelated
7743,Al-Shabaab Terror Group Leader Killed in U.S. Airstrike,981,agree
7744,‘Banksy’ Instagram tribute to Charlie Hebdo victims not posted by artist,2070,agree
7745,Pumpkin Spice Condoms Could Be The Only Thing To Save The World From Basic Children,1954,discuss
7746,Canada probes Michael Zehaf-Bibeau as possible suspect in Ottawa shooting - source,1442,discuss
7747,20-Year-Old Quarter Pounder Looks About the Same,1034,unrelated
7749,ISIS Video: America’s Air Dropped Weapons Now in Our Hands,1347,unrelated
7750,Michael Phelps’ ‘girlfriend’ reveals she was born a man – and never told the swimmer,190,unrelated
7751,DNA tests prove Lebanon IS holding ISIS chief al-Baghdadi's ex-wife and daughter after they were caught with fake passports,1263,disagree
7752,Michael Brown shooting audio caught on tape?,1974,unrelated
7753,"What they earn: Vice CEO Shane Smith’s $300,000 steak dinner",1791,agree
7754,Al-Shabab leader who ordered Kenya mall massacre believed killed in US drone attack in Somalia,1853,unrelated
7755,ISIS Getting Ebola,1921,unrelated
7756,CPWD official sacked for absence from duty for 25 years,1323,unrelated
7757,SEE IT: NBC meteorologist Mike Seidel appears to relieve himself during broadcast; network says he was looking for phone,775,unrelated
7758,WFB’s Bill Gertz: Obama Administration ‘Trying to Play Down’ Missing Libyan Airliners,1660,unrelated
7759,Macaulay Culkin Hasn’t Died Despite What Everyone Is Saying On Facebook,2240,unrelated
7760,North Korea dictator Kim Jong-un 'set to open a new restaurant in SCOTLAND',2309,discuss
7761,British man pays $460 to save constipated goldfish's life,271,unrelated
7762,Weaponized Ebola? ISIS Militants Said To Contract Deadly Virus,1291,unrelated
7763,Report: Christian Bale Will Play Steve Jobs,1939,unrelated
7764,Lawmaker Says ‘At Least 10′ Islamic State Fighters Have Been Captured at the Southern U.S. Border,742,discuss
7765,Video Purports to Show Beheading of American Journalist,2115,unrelated
7766,Tiger Woods' agent shoots down report of failed drug test,1589,unrelated
7767,WHO says reports of suspected Ebola cases in Iraq are untrue,1004,unrelated
7769,Report: US Drones Over Syria Looking for ISIS Leader Abu Bakr al-Baghdadi,2283,unrelated
7770,Durex on Rumored ‘Pumpkin Spice’ Condom: No Comment,72,unrelated
7771,Media reports identify Londoner as Islamic State's ‘Jihadi John’,1256,unrelated
7772,"Fidel Castro Rumors Sweep Internet, but No Sign in Cuba",1439,unrelated
7773,Schoolboy almost killed by electric shock claims he now has superpowers like Magneto,1426,unrelated
7775,"Accused Boston Marathon Bomber Severely Injured In Prison, May Never Walk Or Talk Again",1848,unrelated
7776,Islamic State killer 'Jihadi John' named as Mohammed Emwazi,872,discuss
7777,Meteorite strike in Nicaragua puzzles experts,217,discuss
7778,Nigeria and Boko Haram 'agree ceasefire and girls' release',381,unrelated
7780,Macaulay Culkin Dead: Internet Death Hoax Claims Actor Found Dead In Apartment,833,unrelated
7781,Seth Rogen Eyed to Play Apple's Steve Wozniak in Christian Bale's Steve Jobs Movie (Exclusive),2410,unrelated
7784,"Fidel Castro Is Dead, According to Viral Twitter Rumors",992,unrelated
7785,"Apple 12-Inch MacBook Air Details Emerge; Device Could Be Thinner, Lighter Than Current Model",879,unrelated
7786,Magic mushrooms found at Buckingham Palace,562,unrelated
7787,Who Should Play Steve Jobs Now That Christian Bale Quit?,1406,unrelated
7788,CNN Airs Alleged Audio from Michael Brown Shooting,958,unrelated
7790,Kidnapped Nigerian schoolgirls: Government claims ceasefire deal with Boko Haram that will bring missing girls home,2463,discuss
7792,US probing claims ISIS fighters seized airdropped weapons meant for Kurds,2483,unrelated
7793,ISIS KILLS 300 IRAQI SOLDIERS WITH CHLORINE GAS: SHIA MP,251,unrelated
7795,Former PGA Tour player: Tiger Woods suspended for drug test failure,1589,unrelated
7796,You're Not Going to Become Weightless on January 4th,169,unrelated
7797,Low-level marijuana possession could soon land you a ticket instead of arrest in New York City,1022,unrelated
7798,"Boko Haram agrees to ceasefire, release of school girls",1195,discuss
7799,"Spider burrowed into appendix scar, crawled through WA man's body",1923,disagree
7800,This Dog Was Left At A Railway Station With A Suitcase Of His Belongings After He Was Sold On Gumtree,2483,agree
7801,"NYPD to issue tickets instead of arrest for weed possession, report says",1217,unrelated
7802,North Korea denies plans to open a restaurant in Scotland,1217,unrelated
7803,Man Known as ‘Jihadi John’ Is Identified as Mohammed Emwazi,320,unrelated
7805,Man cut off manhood and threw it in bin after girlfriend dumped him over small penis,1400,unrelated
7807,Texas plumber's truck spotted in Syria: 'We have nothing to do with terror at all',803,unrelated
7808,High School Student Rumored to Have Made $72 Million Trading Stocks,1693,unrelated
7809,BREAKING NEWS: ISIS beheads missing American journalist James Wright Foley as warning to US to cease action in Iraq,826,unrelated
7811,"Islamic State Militants Have Been Flying 3 Captured Warplanes Over Syrian Airport, Witnesses Say",487,unrelated
7812,"Vice Media CEO Shane Smith Spent $300,000 on Las Vegas Dinner (Report)",781,unrelated
7813,Islamic State Leader al-Baghdadi “Not Dead”,518,unrelated
7814,ISIS executioner 'Jihadi John' named by media,2165,discuss
7815,‘The cub of Baghdadi': ISIS reports its youngest jihadist ‘got martyred’ in battle,6,discuss
7816,Insurgents killed in Nigeria despite alleged truce with Boko Haram,423,discuss
7818,Rep. Duncan Hunter: 'At Least 10' ISIS Fighters Caught at Mexican Border,1095,unrelated
7819,Tourist dubbed ‘Spider Man’ after spider burrows under skin for days,1422,unrelated
7820,Report: Possible audio tape of Michael Brown shooting,1803,unrelated
7821,Macaulay Culkin dead hoax: Fake death report spreads on social networks,1545,agree
7822,"Woman detained in Lebanon is not al-Baghdadi's wife, Iraq says",1840,unrelated
7823,IRAQI HEALTH OFFICIAL: EBOLA HAS KILLED 5 ISIS FIGHTERS,2078,unrelated
7824,WHO says reports of suspected Ebola cases in Iraq are untrue,5,unrelated
7825,Tiger Woods serving secret PED suspension?,1339,discuss
7827,BREAKING: British-born hostage 'KILLED in failed rescue attempt',170,unrelated
7828,This Is Why Rumors That ISIS Is Crossing The Border Into The U.S. Aren’t Going Away,1398,discuss
7829,Report: Exec popped for $300k dinner after run at blackjack,640,unrelated
7830,"Christian Bale passes on role of Steve Jobs, actor reportedly felt he wasn't right for part",1519,unrelated
7831,Report: Taliban Detainee Swapped for Bowe Bergdahl Suspected of Trying to Return to Terrorism,1143,unrelated
7832,Amazon Is Opening a Brick-and-Mortar Store in Manhattan,195,unrelated
7833,Iraq Denies Lebanon Captured Abu Bakr al-Baghdadi's Wife and Child,72,unrelated
7834,Google Grows With $1.6 Billion in California Office Deals,1372,unrelated
7836,Islamic State Flying Three Jets in Syria,2362,unrelated
7837,DNA tests prove Lebanon IS holding ISIS chief al-Baghdadi's ex-wife and daughter after they were caught with fake passports,1921,unrelated
7838,Journalist James Wright Foley reportedly beheaded by ISIS,991,discuss
7839,Texas plumber's truck on front line of Syria war,34,unrelated
7840,Nigeria and Boko Haram 'agree ceasefire and girls' release',1374,unrelated
7841,"Source: Pot in NYC may soon net just a ticket, not arrest",2372,discuss
7842,A Predator Drone Has Reportedly Been Spotted Circling Above ISIS's Capital City,1948,unrelated
7844,New Audio Shows Michael Brown Was Shot at 11 Times,662,unrelated
7845,"Vice Media Chief Said to Pay $300,000 for Dinner for 30",832,unrelated
7846,Taliban member swapped by Obama for Bowe Bergdahl tried to return to terror: report,2141,unrelated
7847,"Yang Hu, worker in Zhejiang, cuts off own penis over desperation of finding love",1251,unrelated
7849,Insurgents killed in Nigeria despite alleged truce with Boko Haram,2156,unrelated
7851,Obama denounces killing of journalist James Foley and pledges ‘justice’,1982,unrelated
7853,"Apple Watch Gold Edition may cost as much as $5,000",972,unrelated
7854,ISIS executioner 'Jihadi John' identified as Mohammed Emwazi,2033,unrelated
7855,Christian Bale Pulls Out of Upcoming Steve Jobs Biopic,1846,agree
7856,ISIS Leader Killed: Abu Bakr Al-Baghdadi Reportedly Killed By U.S. Airstrike,186,unrelated
7859,“Willie Nelson dead 2015” : Guitarist killed by internet death hoax,2046,unrelated
7860,"Canterbury Christ Church University student Jess Smith, from Chatham, starred as Teletubbies' sun",2076,agree
7861,No One In North Korea Is Allowed To Share Kim Jong Un's Name,2106,unrelated
7862,Kim Jong-Un 'in hospital with two fractured ankles' after ballooning to around 20 stone and going on numerous 'meet the people' walkabout PR stunts,2417,discuss
7863,Apple may launch 12-inch MacBook Air with Retina Display,2087,unrelated
7864,Kim Jong-Un's sister reportedly running N. Korea,2344,discuss
7865,Schoolboy almost killed by electric shock claims he now has superpowers like Magneto,1720,unrelated
7866,Amazon's Newest Tablet Will Come With Free News From The Washington Post,1224,unrelated
7867,ISIS Militants Allegedly Contracted Ebola,2138,discuss
7868,Did a Meteorite Impact in Nicaragua over the Weekend?,10,unrelated
7869,Oscar winner Christian Bale to play Steve Jobs in upcoming biopic,574,unrelated
7870,Meet the 17-Year-Old Who Made $72 Million During His High-School Lunch Breaks,2526,unrelated
7871,ISIS Claims To Have Captured US Airdrop Weapons,2509,discuss
7872,Macaulay Culkin Dead?,690,unrelated
7873,Texas City plumber's truck ends up in Syrian war,2084,unrelated
7874,Mexico checks if 43 missing students in mass grave,983,discuss
7877,South Korea: Kim Jong Un had ankle surgery to remove cyst,1689,unrelated
7879,Return of the Mac: Seth Rogen in talks to star as Apple co-founder Steve Wozniak in upcoming Steve Jobs biopic,2127,unrelated
7880,Mexico finds 4 more graves at site of suspected student massacre,1772,unrelated
7881,"James Wright Foley, Kidnapped Journalist, Apparently Executed by ISIS",1206,discuss
7882,"Video showing American journalist beheaded believed real, officials and family say",1786,unrelated
7883,Tourist dubbed ‘Spider Man’ after spider burrows under skin for days,1375,unrelated
7884,Pentagon: ISIS Got U.S. Weapons Package,666,unrelated
7885,Christian Bale will not play Steve Jobs,1131,discuss
7886,"Mexico hit by student massacre: At least 17 anti-corruption protesters 'rounded up, murdered and dumped in a mass grave' - and another 26 are missing",1808,unrelated
7887,CNN Posts Alleged Audio of Michael Brown Shooting,2434,discuss
7888,"That Story About a Catholic Priest Dying, Seeing God as a Woman, and Coming Back to Life? It’s Almost Definitely Fake",2147,unrelated
7889,"Man chops off own penis, throws it in a dustbin after poor show in bed",1400,unrelated
7891,"So, There Might Be a Rat Infestation at Vogue",692,unrelated
7892,6 hidden mass graves may hold missing Mexican students,1538,unrelated
7893,Soldier shot in Ottawa at War Memorial,2281,agree
7895,ISIS fighters ‘have contracted Ebola’,1034,unrelated
7896,URGENT: ISIS leader Abu Bakr al-Baghdadi allegedly killed by US airstrikes,936,unrelated
7897,CNN Plays Alleged Recording of Michael Brown Shooting,1605,discuss
7899,"Tiger Woods is not on suspension for failing a drug test, his agent and a PGA official say",438,unrelated
7900,Did a Meteorite Impact in Nicaragua over the Weekend?,2129,unrelated
7901,Vandal paints penis on £1.5million Bugatti Veyron,1453,disagree
7902,"Calm Yourselves, Durex Has NOT Come Out With A Pumpkin Spice Condom",1954,agree
7903,"Would you pay $10,000 for the Apple Watch?",2187,discuss
7904,Bunbury local discovered a spider had burrowed under his skin on Bali holiday,986,disagree
7905,Durex is not confirming or denying rumors of a “pumpkin spice” condom,181,unrelated
7906,"Is Apple about to launch a totally redesigned, 12-inch MacBook Air?",2509,unrelated
7907,Microsoft Tried Out Robot Security Guards on Its Silicon Valley Campus,2306,unrelated
7908,New iOS 8 bug can delete all of your iCloud documents,2304,unrelated
7909,"NYPD to stop arresting for low-level marijuana charges, will issue tickets instead: source",1383,unrelated
7910,MPs credit sergeant-at-arms for saving lives in Parliament Hill shootings,502,discuss
